optim,batchsize,lr,regularization,L2,L1,dropout,test_accuracy,test_loss,train_accuracy,train_loss,time
Adam,128.0,0.001,L1-Dropout,0.0,0.01,0.3,0.7863924503326416,1.1842854976654054,0.8281007409095764,0.9998994504124665,128.151
Adam,32.0,0.001,Elastic-Dropout,0.001,0.01,0.3,0.7832278609275818,0.9869529336690903,0.733268678188324,1.204697718058736,159.015
Adam,64.0,0.001,L1,0.0,0.01,0.0,0.7832278609275818,1.0064282596111298,0.8700904250144958,0.750111201085335,139.161
Adam,256.0,0.001,Elastic,0.001,0.01,0.0,0.7832278609275818,1.235632300376892,0.8627906441688538,1.0065653802918606,124.351
Adam,128.0,0.001,Elastic-Dropout,0.001,0.01,0.3,0.7816455960273743,1.0840947866439818,0.8067182898521423,1.1173664518624298,124.572
Adam,64.0,0.001,Elastic,0.01,0.01,0.0,0.767405092716217,1.3049607753753663,0.787144660949707,1.4195364432886612,140.349
Adam,128.0,0.001,Elastic,0.01,0.01,0.0,0.7642405033111572,1.6328739643096923,0.7948966026306152,1.4983079078768895,126.445
Adam,32.0,0.001,L1-Dropout,0.0,0.01,0.3,0.75,0.9468997418880463,0.756912112236023,1.0822315389706083,144.91
Adam,256.0,0.001,Elastic-Dropout,0.001,0.01,0.3,0.7341772317886353,1.5025787353515625,0.8059431314468384,1.2582687256766147,120.06
Adam,128.0,0.001,L1,0.0,0.01,0.0,0.7041139602661133,1.3615607976913453,0.8629198670387268,0.8258801201158319,129.237
Adam,256.0,0.001,L1,0.0,0.01,0.0,0.6550633311271667,1.5787605047225952,0.8616278767585754,0.9606377843950615,123.302
Adam,64.0,0.001,Elastic-Dropout,0.01,0.01,0.3,0.6376582384109497,1.880081260204315,0.6750645637512207,1.8365108188518808,139.656
Adam,128.0,0.001,Elastic-Dropout,0.01,0.01,0.3,0.6107594966888428,2.0013880491256715,0.6932170391082764,1.8157313638482213,129.479
Adam,256.0,0.001,Elastic,0.01,0.01,0.0,0.6075949668884277,2.124911069869995,0.8255167603492737,1.5238356766153554,122.137
Adam,256.0,0.001,Elastic-Dropout,0.01,0.01,0.3,0.6060127019882202,2.4277071158091226,0.7610464692115784,1.7130848657889444,119.854
SGD,32.0,0.001,L1,0.0,0.01,0.0,0.594936728477478,2.069710057973862,0.6229327917098999,2.008929151641436,142.023
Adam,32.0,0.001,Elastic,0.01,0.01,0.0,0.5886076092720032,1.6618067920207977,0.6333978772163391,1.7624999129575145,155.164
SGD,32.0,0.001,Elastic,0.001,0.01,0.0,0.5712025165557861,2.00762197971344,0.6588500738143921,1.884548835025346,145.681
SGD,32.0,0.001,Elastic,0.01,0.01,0.0,0.547468364238739,2.160722678899765,0.6162144541740417,2.0345129804177717,143.804
SGD,32.0,0.001,L2,0.01,0.0,0.0,0.5221518874168396,2.1242733180522917,0.5735787749290466,2.0437097598698513,140.947
SGD,32.0,0.001,Elastic,0.001,0.001,0.0,0.5110759735107422,2.133161520957947,0.5971575975418091,1.9859328067992343,143.186
SGD,32.0,0.001,No Regularization,0.0,0.0,0.0,0.5079113841056824,2.094928425550461,0.5977389812469482,1.9210737172729713,130.941
SGD,32.0,0.001,Elastic-Dropout,0.01,0.01,0.3,0.4984177350997925,2.4759827971458437,0.4715116024017334,2.4842092882503164,144.592
SGD,32.0,0.001,Elastic,0.01,0.001,0.0,0.49525317549705505,2.239805835485458,0.5710594058036804,2.098893361889626,143.257
