optim,batchsize,lr,regularization,L2,L1,dropout,test_accuracy,test_loss,train_accuracy,train_loss,time
Adam,128.0,0.01,L2-Dropout,0.01,0.0,0.3,0.9040000438690186,0.3201661929488182,0.8452500104904175,0.5694067002610957,17.374
Adam,128.0,0.01,L1,0.0,0.01,0.0,0.9040000438690186,0.3923240005970001,0.9114166498184204,0.3254694881591391,19.531
SGD,64.0,0.01,Elastic-Dropout,0.001,0.001,0.3,0.9040000438690186,0.4332727864384651,0.8255000114440918,0.6882201585363834,20.902
Adam,256.0,0.01,Elastic,0.01,0.001,0.0,0.9020000696182251,0.420471653342247,0.956250011920929,0.23144472057515003,19.773
SGD,64.0,0.01,L2-Dropout,0.01,0.0,0.3,0.9020000696182251,0.49830882623791695,0.8195832967758179,0.7558052466904863,19.936
SGD,256.0,0.01,Elastic,0.01,0.001,0.0,0.9020000696182251,0.5416781157255173,0.902999997138977,0.5880972324533665,21.204
Adam,128.0,0.01,Elastic-Dropout,0.01,0.001,0.3,0.9000000357627869,0.5149111226201057,0.8087499737739563,0.6914585134450425,22.412
SGD,256.0,0.01,L2,0.001,0.0,0.0,0.8960000276565552,0.5018725544214249,0.9050832986831665,0.5419790281894359,15.352
Adam,256.0,0.01,Elastic,0.001,0.01,0.0,0.8940000534057617,0.42097513377666473,0.9371666312217712,0.26591988985842846,17.183
SGD,256.0,0.01,Elastic,0.001,0.001,0.0,0.8940000534057617,0.5284476727247238,0.8914999961853027,0.5839259878117987,14.544
SGD,256.0,0.01,No Regularization,0.0,0.0,0.0,0.8940000534057617,0.5525819361209869,0.8886666297912598,0.61897241942426,16.953
SGD,64.0,0.01,L1-Dropout,0.0,0.001,0.3,0.8920000195503235,0.4165586605668068,0.8149999976158142,0.6983404944234706,17.642
SGD,64.0,0.01,Elastic-Dropout,0.01,0.001,0.3,0.8920000195503235,0.5412650667130947,0.8193333148956299,0.780918206306214,20.944
Adam,32.0,0.01,L1,0.0,0.01,0.0,0.8880000710487366,0.41168848518282175,0.8650833368301392,0.4647899614572525,28.951
Adam,32.0,0.01,Elastic-Dropout,0.001,0.001,0.3,0.8880000710487366,0.42336452193558216,0.7703333497047424,0.7198850591977437,33.279
Adam,64.0,0.01,Elastic,0.01,0.01,0.0,0.8840000629425049,0.4016515277326107,0.8933333158493042,0.46868791827496065,22.079
Adam,32.0,0.01,L2-Dropout,0.01,0.0,0.3,0.8840000629425049,0.5871565919369459,0.7435833215713501,0.8594503264427185,31.953
SGD,64.0,0.01,Dropout,0.0,0.0,0.3,0.8820000290870667,0.42858031764626503,0.8090833425521851,0.6916214376688004,19.711
SGD,64.0,0.01,L2-Dropout,0.001,0.0,0.3,0.8820000290870667,0.4759134128689766,0.7912499904632568,0.7658322450328381,21.951
SGD,64.0,0.01,Elastic,0.01,0.01,0.0,0.8820000290870667,0.5785109773278236,0.9199166297912598,0.4469944102332947,18.8
SGD,256.0,0.01,L2,0.01,0.0,0.0,0.8820000290870667,0.5830890536308289,0.8899166584014893,0.6202236819774547,14.777
SGD,128.0,0.01,Elastic-Dropout,0.001,0.01,0.3,0.8820000290870667,0.6286111325025558,0.8204166293144226,0.8220692562296036,24.31
SGD,128.0,0.01,Elastic,0.01,0.01,0.0,0.878000020980835,0.5409692674875259,0.9352499842643738,0.4529084715437382,17.382
Adam,64.0,0.01,L2-Dropout,0.01,0.0,0.3,0.878000020980835,0.5510997213423252,0.7984166741371155,0.7010686351580823,20.94
SGD,32.0,0.01,Elastic-Dropout,0.001,0.01,0.3,0.8760000467300415,0.5975892823189497,0.7538333535194397,0.8479452792008718,32.335
Adam,128.0,0.01,Elastic,0.001,0.01,0.0,0.8740000128746033,0.45432526618242264,0.918749988079071,0.3125399370142754,17.337
SGD,128.0,0.01,Elastic-Dropout,0.01,0.01,0.3,0.8720000386238098,0.7195890694856644,0.8229166865348816,0.8628384008052501,17.634
Adam,64.0,0.01,Elastic,0.001,0.01,0.0,0.8700000643730164,0.5558877699077129,0.8977500200271606,0.3763786623294049,21.882
Adam,64.0,0.01,Elastic-Dropout,0.01,0.001,0.3,0.8680000305175781,0.5561196245253086,0.7486666440963745,0.854955496306115,26.178
SGD,64.0,0.01,L1-Dropout,0.0,0.01,0.3,0.8640000224113464,0.6257734447717667,0.7956666350364685,0.785428172096293,19.122
SGD,64.0,0.01,Elastic-Dropout,0.01,0.01,0.3,0.8640000224113464,0.726866327226162,0.7991666793823242,0.8769603460393054,25.917
Adam,256.0,0.01,Elastic,0.01,0.01,0.0,0.862000048160553,0.6333446502685547,0.937666654586792,0.36218379533037226,16.103
Adam,32.0,0.01,Elastic-Dropout,0.01,0.001,0.3,0.862000048160553,0.7126967161893845,0.6869999766349792,1.0199364128112793,35.738
