number,value,datetime_start,datetime_complete,duration,params_L1,params_L2,params_batchsize,params_dropout,params_lr,params_optimizer,state
69,0.492000013589859,2023-04-09 00:19:24.554661,2023-04-09 00:19:28.202251,0 days 00:00:03.647590,0.013000000000000001,0.057,256,0.30000000000000004,0.01,Adam,PRUNED
29,0.48000001907348633,2023-04-09 00:13:35.176907,2023-04-09 00:13:39.083236,0 days 00:00:03.906329,0.029,0.08600000000000001,64,0.0,0.01,SGD,PRUNED
66,0.47600001096725464,2023-04-09 00:19:06.664432,2023-04-09 00:19:15.465608,0 days 00:00:08.801176,0.095,0.084,64,0.2,0.001,Adam,PRUNED
87,0.4740000367164612,2023-04-09 00:21:35.110462,2023-04-09 00:21:38.609388,0 days 00:00:03.498926,0.035,0.048,256,0.30000000000000004,0.001,Adam,PRUNED
88,0.4620000123977661,2023-04-09 00:21:38.611004,2023-04-09 00:21:41.725094,0 days 00:00:03.114090,0.023,0.08,256,0.5,0.01,SGD,PRUNED
12,0.4520000219345093,2023-04-09 00:11:04.550931,2023-04-09 00:11:08.680992,0 days 00:00:04.130061,0.059000000000000004,0.014,64,0.2,0.01,SGD,PRUNED
83,0.4140000343322754,2023-04-09 00:21:06.502262,2023-04-09 00:21:10.480954,0 days 00:00:03.978692,0.056,0.012,64,0.0,0.001,SGD,PRUNED
75,0.40800002217292786,2023-04-09 00:20:04.316464,2023-04-09 00:20:07.620599,0 days 00:00:03.304135,0.069,0.085,128,0.4,0.01,SGD,PRUNED
30,0.4020000100135803,2023-04-09 00:13:39.085076,2023-04-09 00:13:43.349065,0 days 00:00:04.263989,0.096,0.049,64,0.5,0.001,Adam,PRUNED
43,0.4020000100135803,2023-04-09 00:16:07.943871,2023-04-09 00:16:15.672539,0 days 00:00:07.728668,0.083,0.057,32,0.30000000000000004,0.001,Adam,PRUNED
2,0.4000000059604645,2023-04-09 00:07:38.588048,2023-04-09 00:08:03.820472,0 days 00:00:25.232424,0.052000000000000005,0.024,64,0.4,0.001,Adam,COMPLETE
53,0.39400002360343933,2023-04-09 00:17:16.976642,2023-04-09 00:17:20.845446,0 days 00:00:03.868804,0.07100000000000001,0.014,128,0.2,0.01,SGD,PRUNED
79,0.3920000195503235,2023-04-09 00:20:27.188294,2023-04-09 00:20:33.639452,0 days 00:00:06.451158,0.039,0.031,32,0.5,0.01,SGD,PRUNED
9,0.3920000195503235,2023-04-09 00:10:20.470108,2023-04-09 00:10:24.350016,0 days 00:00:03.879908,0.012,0.074,64,0.0,0.001,SGD,PRUNED
41,0.3800000250339508,2023-04-09 00:15:39.121192,2023-04-09 00:15:43.022848,0 days 00:00:03.901656,0.061,0.059000000000000004,64,0.1,0.001,SGD,PRUNED
90,0.3800000250339508,2023-04-09 00:21:47.337757,2023-04-09 00:21:51.875374,0 days 00:00:04.537617,0.081,0.08600000000000001,64,0.1,0.001,Adam,PRUNED
